NO,img,description,genre
1,(HR) Okuda u0026 Remed. Streets of Colour. MIAMI. - Okuda u0026 Remed.jpg,"This is an image of a large, colorful mural painted on the side of a building. The artwork features a series of stylized figures that could be interpreted as birds, with a reoccurring theme of large, prominent eyes. The style is predominantly geometric, with bold shapes and vibrant colors such as red, blue, yellow, and purple. Various patterns and gradients fill the shapes, giving the birds and flowers a detailed, textured appearance.  In the background of the mural, there is a smooth gradient of gray, allowing the colorful figures to stand out prominently. The birds are depicted in various poses, some with wings spread as if in flight, while others appear more static. Among the birds, there are other elements like stylized flowers, rainbow-like streams, and celestial bodies like the moon and circular motifs that may represent the sun or stars.  On the top left, there is a water tower with graffiti on it, which stands above the mural and adds an urban feel to the scene. Below the mural, on the right side, there's a signature that reads ""Okuda & Remed #StreetsOfColor,"" which indicates the artists who created the piece.  The mural suggests themes of nature, vibrancy, and perhaps spirituality, given the frequent use of eye symbolism and celestial imagery. The overall effect of the mural is cheerful, uplifting, and full of energy, as the colors and patterns emit a sense of joy and creativity. The fusion of geometric abstraction with naturalistic elements provides a visual feast that can inspire feelings of wonder and an appreciation for street art's potential to transform public spaces.",street art
2,"1 wall of u0027Recycles_u0027 - Proembrion, Cekas, Sepe, Tone, Chazme.jpg","This image depicts a large mural painted on the side of an urban building. The mural is very detailed and covers the entire height of the building, with a focus on several human figures that appear to defy gravity. These figures, which are done in a style that feels both realistic and abstract, are shown in various states of motion or activity.  The color palette of the mural is dominated by shades of blue, gold, and orange, giving off a vibrant and dynamic feel. The figures are painted in such a way that they seem to interact with the architectural elements of the building, such as windows and ledges, integrating the artwork seamlessly with its canvas.  The background of the mural features abstract geometric shapes and lines, suggestive of urban structures or perhaps reflecting the digital age. Elements in the mural give the impression of pixels or fragments, lending a sense of fragmentation or perhaps connectivity that resonates with modern digital experiences.  At the bottom of the building, on the foreground sidewalk, you can see two individuals, which provides a sense of scale and shows just how massive the mural is. Parked cars line the street next to the building, also emphasizing the mural's size and adding to the urban context of the scene.  In terms of feeling, the mural imparts a sense of awe due to its sheer scale and the talent evident in its execution. It also seems to convey a narrative or emotion through the movement of the figures, inspiring viewers to perhaps consider themes of humanity, technology, and the urban environment. The overall effect is captivating and deeply engages the viewer's imagination.",street art
3,10.14.13 - Jerms and Topaz Graffiti.jpg,"This image features a mural filled with vibrant colors and diverse elements, including graffiti art and a realistic portrait. On the left, you can see stylized letters brightly painted in a mix of colors forming an elaborate graffiti piece that is quite typical of street art. The colors range from blue, orange, red, and purple to green, showcasing an energetic and intense color palette.  In the center and right side of the mural, there is a depiction of a person. The individual appears with squinted eyes and a focused expression, playing an electric guitar with intense engagement. The figure is rendered with a degree of realism, contrasting with the abstract and stylized graffiti that dominates the rest of the image.  The top of the mural features text that reads ""MUSIC IS RELIGION"" in a stylized graffiti font, which is a blend of green, yellow, and red, and it suggests a message connecting the spiritual or passionate importance of music with religious fervor. A similar style of text with various colors and designs meanders throughout the mural.  The artwork feels dynamic and expressive, with a sense of movement and life. It could evoke a feeling of appreciation for street art's ability to blend both abstract and realistic styles and its power to convey strong messages about cultural values like music and expression. There's a sense of community and vibrancy that is often associated with urban street art culture.",street art
4,11.08.13 - Various graffiti artists and muralists.jpg,"The image captures a vibrant urban landscape dominated by a large, graffiti-covered building against a backdrop of a cloudy sky and a city skyline featuring several high-rise buildings. The structure in question appears to be a multi-story building with an expansive flat rooftop, utterly transformed by a colorful patchwork of graffiti and street art. The art is an eclectic mix of styles, illustrating enormous block letters and 3D-style writing in a myriad of hues, complemented with some pictorial elements. Notably, on one of the lower walls, there's a large portrait of a person's face in a monochromatic stencil style, which is contrasted starkly against the surrounding vivid colors.  The rooftop is sprawling with more layers of graffiti, albeit with a more faded presence, suggesting exposure to the elements over time. The surrounding environment seems slightly overcast, and the rugged, wet surface of the rooftop and the buildings in the distance suggests recent rain. In the foreground, a train track runs parallel to the building, hinting at the graffiti's likely visibility to train passengers.  The display sparks a sense of raw energy and chaotic creativity. It elicits feelings of being in the midst of a bustling city that carries the marks and expressions of its inhabitants. The area conveys a robust urban atmosphere, radiating the power of public art and conveying an undercurrent of the stories, messages, and identities of the unseen artists.",street art
5,11.29.11jpg - Shiro.jpg,"The image shows a vibrant and colorful piece of urban street art. The art covers the walls of a building, including a segment that spans a closed roller shutter and a section of the wall next to it.  The dominant feature of this artwork is the bold, stylized letters spelling out ""HIP HOP"" which take center stage on the wall. The letters are painted in shades of red and green with a thick black outline, giving them a 3D effect against the wall's background. Surrounding the letters are additional graffiti elements in shades of pink, green, and white, adding to the energetic feel of the piece.  To the left of the ""HIP HOP"" letters, on the rolling shutter, there's an image that features a cartoon-like character draped in a red hood, contrasting with the blue-toned background. The character has their eyes closed and sports a peaceful expression.  To the right, there are windows with blocked-out, yellow-tinted glass and aged, yellow-and-red paint around the frames which hint at the building's wear. Underneath the window on the right, the mural continues with text and information such as ""Welcome to 5 Pointz,"" ""Painting with a permit,"" and scheduling details, indicating this site is an organized location for street art. A web address is also mentioned, inviting people to check out more about the location online.  The overall impression of the image is lively and expressive, capturing the dynamic spirit of hip hop culture through visual art. The artwork gives a sense of creativity and rebellion, common in urban graffiti art, and it may evoke feelings of admiration for the skill involved and the raw, unfiltered expression the mural represents.",street art
6,"1929, Moncho; SMILE SOUTH CENTRAL; 2014.jpg","The image shows an urban street scene dominated by a large mural on the side of a building. The mural features vibrant and colorful street art with a mix of letters and shapes that look like stylized graffiti. Prominently, there's a hyper-realistic human face on the left side of the mural, painted with such detail that it almost seems to pop out of the wall.  The building with the mural also has signage indicating ""48th MARKET GROCERY,"" suggesting that this is a local store. Adjacent to the market is another building with a sign that reads ""MARKET BEER & WINE,"" indicating the sale of alcoholic beverages.  In the foreground, there's a sidewalk and a street. The street has a distinctive diagonal parking pattern, with a white car parked and a person standing beside it. On the sidewalk, there is a blue mailbox, a utility pole, and a tree that adds a touch of greenery to the otherwise concrete environment.  The sky is clear and blue, suggesting a bright, sunny day. The overall atmosphere feels urban and gritty, yet the street art adds a dynamic and creative flair to the scene. The mural itself may evoke various emotions depending on the viewer; it radiates an energetic vibe and may impress upon some the raw expression and talent of street artists. The scene is very much a snapshot of urban life, where art and commerce coexist in close quarters.",street art
7,"2000, Futura; Futura detail 6; 2013_2013.jpg","This image presents a night scene of an urban street that feels both lively and somewhat deserted. The focus is on a stretch of road with buildings on either side, their sizes varying, some taller than others. The lighting is uneven, with some areas well-lit and others in shadow, giving a patchwork appearance to the scene.  On the left, a multi-story building with a reflective glass exterior rises into the night sky, its windows glowing softly. Next to it, there's a smaller building covered with a large blue mural or advertisement featuring a figure with open arms, encompassing a sense of freedom or welcome. The art stands out against the night and brings a splash of color to the otherwise muted tones.  To the right stands a row of buildings with signage, one of which prominently displays ""SEPS,"" possibly indicating the name of a business. Below, nearer to the street level, a sign reading ""SUSPENSION DE ACTIVIDADES"" suggests that some sort of work or services have been halted.  The street itself appears mostly empty, with a long exposure capturing the light trails of a vehicle that has passed by quickly, leaving streaks of white and red in the image and contributing to the dynamic feel of the city at night.  A covered sidewalk with a public transportation stop adds an element of infrastructure for pedestrians, and there are trees that bring a touch of nature to the urban environment. The overall effect of the image is one that captures the essence of city life at night?봯arts are bustling with energy while others are quiet and still, with artwork bringing a unique character to the space.",street art
8,"2000, Futura; Futura detail 7; 2013_2013.jpg","The image depicts a striking piece of street art painted onto a wall. The artwork's background consists of a gradient from white to a light blue with dark blue patches, resembling a sky with cloud formations or perhaps a textured surface. Across this background, in sharp contrast, is a black stencil drawing of a humanoid figure.  The figure is in the center of the image, depicted in a crucifix pose but without a visible cross, executed in a bold black outline with detailed shading to suggest musculature and form. This creates a powerful silhouette that is immediately eye-catching. There are splashes of red paint concentrated around the figure?셲 hands and head, which could represent wounds or a crown, reminiscent of traditional iconography of the crucifixion in Christian art.  The red splashes also scatter outward from the points of supposed injury, giving the impression of energy or motion, as if the impacts were recent or active. There is a vertical line or a set of lines running through the figure, possibly due to the underlying structure of the wall or an intentional aesthetic choice, accentuating the figure's verticality.  As for the feeling the image evokes, it may vary greatly from person to person. Some might find the juxtaposition of the religious imagery with the street art style to be intriguing or thought-provoking. Others might experience a sense of unease or discomfort due to the stark representation of suffering, signaled by the red accents. The image seems to invite contemplation, perhaps on themes of sacrifice, redemption, or the human condition.",street art
9,3.10.13 - Rubin 415.jpg,"This image features a colorful and abstract piece of street art painted on a wall. The wall itself is part of a building that shows signs of age and wear, with windows covered by metal grates and rusty bars, and patches of paint visibly worn down.  The mural adopts a geometric style with sharp angles and shapes that intersect, overlap, and layer in a complex arrangement. The color palette includes black, white, shades of gray, and pops of bright colors like lime green, orange, and red. Within the composition, there are elements that resemble shadowing and three-dimensional forms, giving the impression of depth and movement.  One particular element that stands out is the orange line that flows through the middle of the mural, serving as a dynamic break that adds energy and focus to the piece. Small circular shapes punctuate the composition, and there are fine details like small lines and rectangles that could remind one of windows or doors.  Scattered around the edges, you can see the remnants of graffiti and tags from various artists. The bottom left corner includes a script with the words ""EUNICE KATHLEEN WAYMON"" clearly legible.  The overall effect of the mural is one of chaotic order, as the abstract forms come together in a way that is both organized and disruptive. The inclusion of bright colors against the gray buildings adds a lively and vibrant touch to an otherwise drab urban landscape. It might give a viewer a sense of energy or inspiration, reflecting the creative expression often found in urban art. The scene might evoke feelings of curiosity and intrigue as one tries to interpret the forms and the intention behind the artwork.",street art
10,4.18.13 - Spagnola.jpg,"You're looking at an expansive mural painted on the side of a building. The bulk of the artwork is a vivid and expressive depiction of a tiger in motion. The colors are rich and vibrant, with fiery oranges and deep blacks making up the tiger's stripes, and the contrasts are striking. The tiger's fur seems to ripple with shades of color, indicating both power and fluidity in the movement.  A portion of the mural incorporates the building's actual features: windows and a vent, for instance, become part of the tiger's body. In an interesting blend of reality and artistry, the windows serve as the tiger?셲 shoulder and the vent looks almost like a piece of armor or a badge, indicative of the tiger's strength and resilience.  Towards the bottom of the mural, the tiger's motion seems to manifest as splashes of water, rendered in blues and whites. The water extends to the ground, giving the illusion that the tiger is emerging powerfully from a river or forging through water. The effect of the waves and splashes lends dynamism to the piece, enhancing the sensation of the tiger's movement.  Above the tiger's back, there's elegant script lettering that reads ""Spagnola."" This could be the name of the artist, a sponsor, or hold some other significance in relation to the artwork.  The overall effect of the mural is bold and energizing, communicating a sense of ferocity and the beautiful intensity of nature. The interplay of texture, color, and the urban environment engages the viewer, invoking feelings of admiration for the skillful integration of art into public spaces. It might inspire a sense of awe or a contemplative moment as to the power and beauty of wild animals, even juxtaposed against an urban backdrop.",street art
11,4.26.13 - Miesone.jpg,"This image shows a vibrant and intricate piece of graffiti art on a wall. The wall itself is textured, with visible brickwork that's been painted over with a light green color. The graffiti artwork is elaborate, featuring metallic-looking shapes and forms that are interlocked and layered, predominantly in shades of gray with highlights in neon green. The design has a three-dimensional, almost mechanical look, reminiscent of a futuristic machine or abstract robotic elements.  To the right of the graffiti piece, there's some text painted on the wall that says ""facebook.com/misoneart,"" suggesting the artist's or the project's online presence. Right below it, there's another graffiti signature with a symbol that looks akin to a stylized asterisk next to the word ""Art.""  The overall impact of the image is one of urban creativity and edginess. The graffiti art exhibits skill and precision, with its clean lines and shading creating a palpable sense of depth and movement. The neon green accents against the monochrome base give off an energetic vibe, and the art seems to pulse with an almost living energy. Looking at it, one might feel a sense of wonder or awe at the complexity and talent required to create such a piece on a public wall. The art transforms an otherwise ordinary urban space into a canvas that conveys a strong sense of contemporary street culture.",street art
12,4.27.13 - Danielle Mastrion.jpg,"This is a vivid image, presenting a mural painted on an urban wall. The mural features a large, stylized portrait of a person's face up close. The artistic execution is quite dramatic, with bold contrasts of black, white, and shades of gray, giving the artwork a sense of depth and intensity.  The person in the mural has an expressive gaze, with their eyes looking off to the side, which might evoke a sense of contemplation or pensiveness. The lips are slightly parted, and the overall facial expression is neutral to slightly serious. The use of shading around the facial features accentuates the bone structure and gives the face a three-dimensional appearance.  The background is divided by a vertical edge that separates two different textures and color schemes. On the left side, the wall is painted brick red with a small door, and the bricks are rendered in a realistic manner. There is a slight disruption in the pattern where the mural overlays part of the red bricks, creating a sense of interruption or intrusion. On the right side, there appear to be multiple layers of posters, graffiti, and warnings, including a stark white section with bold red lettering that stresses ""NO TRESPASSING"" instructions, all of which contribute to a cluttered, chaotic urban feel.  Additionally, there are elements of tagging on the mural itself, with one visible at the bottom left, suggesting that this mural exists in a dynamic environment where various forms of street art and expression are constantly interacting and overlapping.  The complex textures and the gravity of the portrait coupled with the surrounding urban messaging provoke a contemplative mood, suggesting themes related to identity, expression, city life, and perhaps the tension between individuality and societal rules. The overall effect is quite engaging, commanding attention and reflection on the part of the viewer.",street art
13,5.07.13 - Semor and Kade.jpg,"This image features an urban scene with a vibrant, colorful mural that covers the lower part of a building's exterior wall. The building itself seems to be aged, with muted yellow and red colors, and it has tall windows with weathered wooden frames and small panes of glass that look dirty or dusty, contributing to a feeling of urban decay. One of the windows has an external metal staircase attached, which seems old and utilitarian.  The mural is a striking contrast to the building itself. It's comprised of complex geometric shapes and interlocking letters in a stylized form known as graffiti art. The lettering is intricate and likely represents the artist's or artists' tags, which are their unique signatures. The color palette used in the mural is primarily purples, whites, and shades of red and blue, arranged in a dynamic and almost three-dimensional manner, giving the impression of depth and movement.  On the left-hand side of the wall, above the graffiti, there's an orange object painted that resembles a security camera, but its cartoonish style with bold outlines makes it stand out whimsically against the realistic texture of the building. Close to the top right corner, a paste-up artwork portrays a face peering through greenery, giving a sense of someone mysteriously observing the street.  This artwork gives the space a lot of energy and a sense of creativity emerging within an otherwise aging urban environment. The blend of the dilapidated elements of the building with the lively, contemporary artwork might evoke feelings of surprise, curiosity, and a certain appreciation for the way art can transform and energize public spaces.",street art
14,"5.10.13 - El Seed, Jaye u0026 Meres One.jpg","The image shows a vibrant piece of street art full of dynamic graffiti. Dominated by an array of colors, the prominent tones are blue, yellow, orange, and red, with splashes of green and white. The backdrop is a rough-textured wall, and the artwork takes up the entire canvas that it's been placed on, which seems to be the side of a building or an enclosure.  Starting with the background, there's a complex, intertwined pattern of yellow linework over a deep blue surface that gives the impression of organized chaos or a kind of urban hieroglyph. It's intricate and could be signatures, symbols, or a form of abstract expression.  Superimposed on this network are bolder elements in red and orange, with some parts outlined in white, which leap out at the viewer. The forms and shapes are fluid and somewhat amorphous, reminiscent of large calligraphic strokes or stylized lettering so often seen in graffiti art. While deciphering specific letters or words is challenging, the energy and movement inherent in the forms suggest a language of the street, vibrant and alive.  There's a red splash at the bottom left that looks like it could represent an abstract character with two round, seed-like yellow spots suggesting a playful or whimsical presence. A vertical drainpipe on the right margin of the artwork adds an unintentional, industrial element to the composition, bringing it firmly back into the context of the urban environment where it exists.  The overall effect of the image is one of urban contemporaneity. It exudes a youthful and rebel energy, provoking thoughts about the transitory nature of art and the conversations between the artist, the medium, and the onlooker. It feels spirited and full of life, perhaps symbolizing the voices of those who find their expression not in traditional galleries but on the streets for the world to see, engage with, and even challenge.",street art
15,5.11.13 - Jamel.jpg,"You're looking at a photograph that shows a wall adorned with vibrant graffiti. The graffiti itself is a dynamic blend of colors including red, green, yellow, blue, pink, and white, shaping letters that form an illegible word or tag to someone unfamiliar with graffiti script. These letters are stylized with elongated shapes, intersecting lines, and sharp edges, giving the impression of a single fluid piece that's almost melting or flowing across the wall. The colors are bold and bright, and they seem to blend into each other in places, while in other areas they starkly contrast against the adjacent hues.  Scattered on the ground in front of the wall are numerous cans of spray paint, with their caps off, possibly indicating that the artwork is fresh or that the artist was recently at work. These cans mirror the colors in the graffiti, suggesting they were used to create the piece. On the left side, an orange backpack also rests on the ground, potentially belonging to the artist.  The backdrop around the graffiti is textured and predominantly dark, making the fluorescent colors of the artwork stand out even more. A metal structure with wooden slats projects over part of the upper left side of the wall, casting a shadow and adding to the urban feel of the scene.  The image might evoke a sense of the rebellious and expressive nature of street art. It feels vibrant, energetic, and raw?봞 celebration of color and form in an otherwise mundane or grim urban setting. The photo captures the contrast between the creativity and spontaneity of human expression with the structured, sometimes dull environment it seeks to embellish.",street art
16,5.13.13 - Zomb.jpg,"This image features a vibrant and colorful piece of street art displayed across what appears to be a brick wall. The graffiti showcases a cartoonish art style with whimsical and exaggerated characters. On the left side, there's a character with a large, toothy grin, wearing a backward cap and appearing to be riding on the back of another cartoonish figure. Both of these characters are outlined in bold black with vivid reds, blues, and aqua shades filling their forms.  Above these characters, the wall is covered in a complex array of overlapping graffiti tags and designs, creating a textured mosaic of shapes and letters. These tags use a diverse mix of colors like green, pink, blue, purple, and yellow. The letters themselves are stylized in a manner typical of graffiti, with sharp angles, wild curves, and dramatic embellishments, making it difficult to read any specific words.  Towards the right side of the mural, there is large, script-style writing in orange with the words ""Moody NYC..."" providing a signature or commentary to the artwork.  Overall, the mixture of bold outlines, dynamic characters, and a busy background of abstract graffiti give the image a sense of vitality and urban energy. It conveys a youthful, rebellious spirit often associated with graffiti culture. The whimsy of the characters juxtaposed with the gritty urban art form might elicit feelings of amusement or appreciation for street art as a form of self-expression. It exemplifies the way public spaces can be transformed into canvases that reflect the creativity and character of a community.",street art
17,5.22.09 - Jesus Saves.jpg,"The image displays a vibrant and colorful piece of graffiti art on what appears to be a metal roll-up door. The graffiti consists of an assortment of abstract shapes, letters, and lines in a bold, stylized format that is common in graffiti art. Predominantly, there are large letters that may represent an artist's tag, rendered in black with white highlights and outlined by bright background colors such as yellow, orange, pink, and a hint of blue and green, which seem to blend into one another.  It appears that there is another layer of graffiti behind the prominent black letters, possibly indicating that the door has been a canvas for multiple artists over time. These additional layers add complexity and depth to the artwork, creating a palimpsest.  The door is framed by a red and pink painted wall to the left and a white wall with additional colorful splashes to the right. A thick, rusty metal chain drapes down over the middle of the graffiti, adding a textural element to the image.  Emotionally, the graffiti art imparts a sense of raw creativity and urban expression. The bright colors and bold forms can evoke feelings of energy and rebellion, hinting at the youthful, dynamic culture often associated with street art. The fusion of colors and forms may also evoke a sense of curiosity and wonder about the stories and artists behind these layers of paint.  There is a black rectangle at the bottom of the image that obscures part of the artwork. This may be an intentional alteration to maintain privacy or reduce distractions.",street art
