,url
0,https://artsandculture.google.com/asset/flower-still-life-ambrosius-bosschaert-the-elder/NwEGD5RkEhihQQ
1,https://artsandculture.google.com/asset/girl-with-a-pearl-earring/3QFHLJgXCmQm2Q
2,https://artsandculture.google.com/asset/the-milkmaid/9AHrwZ3Av6Zhjg
3,https://artsandculture.google.com/asset/christ-in-the-storm-on-the-sea-of-galilee/HAFJC4JVXYbUBg
4,https://artsandculture.google.com/asset/the-night-watch/eQEojRwTdypUKA
5,https://artsandculture.google.com/asset/view-of-delft/CgGsQh01dnFdDQ
6,https://artsandculture.google.com/asset/return-of-the-prodigal-son/5QFIEhic3owZ-A
7,https://artsandculture.google.com/asset/the-concert/rQFBfEQQR7WNWA
8,https://artsandculture.google.com/asset/the-abduction-of-europa/YAGAn7xpziubvQ
9,https://artsandculture.google.com/asset/the-art-of-painting/lAHeqBoLaePtEA
10,https://artsandculture.google.com/asset/the-procuress/ZgEq-2vBqy3sVA
11,https://artsandculture.google.com/asset/woman-reading-a-letter/QQF82wPVTRfMPw
12,https://artsandculture.google.com/asset/isaac-and-rebecca-known-as-the-jewish-bride/hAERFV8rdOOssw
13,https://artsandculture.google.com/asset/woman-holding-a-balance/-wHFDKu7-mhjtQ
14,https://artsandculture.google.com/asset/the-syndics/ZgHt6DZhk-6SVw
15,https://artsandculture.google.com/asset/young-woman-with-a-water-pitcher/ogH-Waxey-9HBA
16,https://artsandculture.google.com/asset/self-portrait/AQHvOEXiF3p9fg
17,https://artsandculture.google.com/asset/girl-with-the-red-hat/VAGZddahyMqOqw
18,https://artsandculture.google.com/asset/girl-reading-a-letter-by-an-open-window/3wFQaidzxA5mqg
19,https://artsandculture.google.com/asset/a-maid-asleep/lgE4W5zZd-8W7g
20,https://artsandculture.google.com/asset/officer-and-laughing-girl/BAGeJEKy9TZJog
21,https://artsandculture.google.com/asset/girl-interrupted-at-her-music/LgGpXZG1P2CMjg
22,https://artsandculture.google.com/asset/the-little-street/YAGJRuPz8yVuRQ
23,https://artsandculture.google.com/asset/the-geographer/xQFs38J6ShT4nA
24,https://artsandculture.google.com/asset/self-portrait/-gHQe8vbiHn2xw
25,https://artsandculture.google.com/asset/the-polish-rider/vAGjCHC1F6AAlg
26,https://artsandculture.google.com/asset/study-of-a-young-woman/0QGiiknexk25VA
27,https://artsandculture.google.com/asset/girl-with-a-wineglass/LgHXGzeiFPn9PQ
28,https://artsandculture.google.com/asset/the-dancing-couple/MQE2fyQk7CYX-A
29,https://artsandculture.google.com/asset/a-lady-writing/eAG0Jvulh617uw
30,https://artsandculture.google.com/asset/young-woman-with-a-pearl-necklace/kQFMVJh6zAXoxQ
31,https://artsandculture.google.com/asset/self-portrait/AAHGrS6cvWhysw
32,https://artsandculture.google.com/asset/mistress-and-maid/xwFyx_AQGT2Y-w
33,https://artsandculture.google.com/asset/allegory-of-the-catholic-faith/iwGeSCUwiEqKgQ
34,https://artsandculture.google.com/asset/isaak-zegent-jakob/ngE2b2zp6u0zIQ
35,https://artsandculture.google.com/asset/the-threatened-swan/6QGUR58bRgIKEA
