,url
0,https://artsandculture.google.com/asset/poppy-field/xQGTinA-MPxcVg
1,https://artsandculture.google.com/asset/la-grenouillre/HgHrOyFUfcFtLw
2,https://artsandculture.google.com/asset/water-lilies-and-japanese-bridge/PAFQhDlvL98Phg
3,https://artsandculture.google.com/asset/cliff-walk-at-pourville/UQGnY73r2uCqBg
4,https://artsandculture.google.com/asset/a-girl-with-a-watering-can/pgHLNTnAE2OCRQ
5,https://artsandculture.google.com/asset/the-japanese-footbridge-and-the-water-lily-pool-giverny/OgHdz4nsHHvhcQ
6,https://artsandculture.google.com/asset/the-burghers-of-calais/iQFLqhZ05qXuBw
7,https://artsandculture.google.com/asset/the-saint-lazare-station/wAHOCsl09dhUPw
8,https://artsandculture.google.com/asset/the-absinthe-drinker/zwG8nxV1nz8icQ
9,https://artsandculture.google.com/asset/sewing-the-sail/ggHMkbvZk1yLaw
10,https://artsandculture.google.com/asset/the-water-lily-pond/nQExbyttj8z58A
11,https://artsandculture.google.com/asset/the-large-bathers/2wE1mqTuUoBmtA
12,https://artsandculture.google.com/asset/the-balcony/ggFK0UgXAd7OCA
13,https://artsandculture.google.com/asset/el-jaleo/PQHv7QgAV-VL6w
14,https://artsandculture.google.com/asset/the-magpie/rQGnadHwK8lSmg
15,https://artsandculture.google.com/asset/summer-evening-on-skagen-snderstrand/_gEOHIMEsC_EQg
16,https://artsandculture.google.com/asset/woman-with-a-parasol-in-a-garden/QgG22OXaJoXDaw
17,https://artsandculture.google.com/asset/at-the-caf/GgEZL0iu5Gl9FA
18,https://artsandculture.google.com/asset/the-rape-of-europa/uAF7WK6ouSPg5g
19,https://artsandculture.google.com/asset/the-dance-in-the-country/SgGzLuzrtF86Ow
20,https://artsandculture.google.com/asset/the-burghers-of-calais/_QF07geYWqvkwQ
21,https://artsandculture.google.com/asset/la-promenade/ugEArpShIQma-g
22,https://artsandculture.google.com/asset/country-dance/VgGZ23KguWb7HQ
23,https://artsandculture.google.com/asset/the-railway/kAHNAxL76AyLUA
24,https://artsandculture.google.com/asset/bathers-at-la-grenouillre/KgF6Xfm8i8pgSA
25,https://artsandculture.google.com/asset/pathway-in-monets-garden-in-giverny/QAGtfxqZwyRNlA
26,https://artsandculture.google.com/asset/swaying-dancer-dancer-in-green/PAG7nnYIK8XTTA
27,https://artsandculture.google.com/asset/boulevard-des-capucines/JQF8ZdIG2etsxw
28,https://artsandculture.google.com/asset/ballet-rehearsal-on-stage/3gHLPe4_LSLW8g
29,https://artsandculture.google.com/asset/the-thames-below-westminster/IQEhkeOJmxv3qQ
30,https://artsandculture.google.com/asset/the-horses-bath/2AFNxpFdoC3c_g
31,https://artsandculture.google.com/asset/young-lady-in-1866/NgH72yNnF0VksA
32,https://artsandculture.google.com/asset/isabella-stewart-gardner/5AGtVFihM7dhnA
33,https://artsandculture.google.com/asset/the-childs-bath/FQGpjnFFEcrMyw
34,https://artsandculture.google.com/asset/the-beach-at-trouville/VAEuv4vvEvVtPw
35,https://artsandculture.google.com/asset/the-tub/jwHF8yPzmGBvXw
36,https://artsandculture.google.com/asset/street-in-vila-vila-landscape/rAFDdZMZO122Hg
37,https://artsandculture.google.com/asset/the-swing/ywHQ_VpAHNNDMg
38,https://artsandculture.google.com/asset/a-woman-seated-beside-a-vase-of-flowers-madame-paul-valpinon/_wE-vWfX-mwtUw
39,https://artsandculture.google.com/asset/the-coiffure/qQFqXOQQep1Qqw
40,https://artsandculture.google.com/asset/claude-monet/UgHk46wqqNiBjw
41,https://artsandculture.google.com/asset/man-at-his-bath/igG6jTDcTNW5fw
42,https://artsandculture.google.com/asset/lge-dairain-the-age-of-bronze/FwFjfjAxH0oaow
43,https://artsandculture.google.com/asset/in-the-loge/tgF6xIFz0Qjp1w
44,https://artsandculture.google.com/asset/gabrielle-and-jean/DgF1I8YAm3QmYw
45,https://artsandculture.google.com/asset/summer-evening-at-skagen/gwFCnJMQYnJAag
46,https://artsandculture.google.com/asset/girl-reading/ZgEkdK6V-__Dsg
47,https://artsandculture.google.com/asset/midsummer-dance/MwGL8rWJ-ab1jQ
48,https://artsandculture.google.com/asset/the-singer-in-green/JgFpPx6x3frZ0Q
49,https://artsandculture.google.com/asset/the-rue-mosnier-with-flags/fQGvGtXegL9B-Q
50,https://artsandculture.google.com/asset/pink-and-blue-the-cahen-danvers-girls/LgFosuzCGrTTWQ
51,https://artsandculture.google.com/asset/nocturne-in-black-and-gold-the-falling-rocket/BwH3OB1BV9luHw
52,https://artsandculture.google.com/asset/the-dancing-class/FAGcoGjkMHVnBQ
53,https://artsandculture.google.com/asset/everlasting-spring/gAFwvnQD1IRaBA
54,https://artsandculture.google.com/asset/grainstacks-at-giverny-the-evening-sun/xQHprCys-qJA7w
55,https://artsandculture.google.com/asset/dancers-at-the-barre/5QHNn00OTA2mXw
56,https://artsandculture.google.com/asset/poplars-in-the-sun/sAGwBxcpaC6aUw
57,https://artsandculture.google.com/asset/olympia/hAFDuawYhIQCrQ
58,https://artsandculture.google.com/asset/regattas-at-argenteuil/6gGcxRaMfrnJ9Q
59,https://artsandculture.google.com/asset/the-rue-montorgueil-in-paris-celebration-of-june-30-1878/hQGKcVaLpt9iCg
60,https://artsandculture.google.com/asset/bazilles-studio/cAF7KPVs5G2guA
61,https://artsandculture.google.com/asset/girl-with-chrysanthemums/5QEi4KaNQEx2sA
62,https://artsandculture.google.com/asset/blue-water-lilies/1QFF7Ef6R2oyog
63,https://artsandculture.google.com/asset/the-cradle/WAE_4Ek4Dn6EnA
64,https://artsandculture.google.com/asset/a-funeral/4gH8a54MOCNtYg
65,https://artsandculture.google.com/asset/the-princess-and-the-monkey/5AGVkIl2OPVUSw
66,https://artsandculture.google.com/asset/pont-neuf-paris/WAFRh_vU9ZvTPg
67,https://artsandculture.google.com/asset/the-bridge-at-argenteuil/CQGVAX9Xla6sag
68,https://artsandculture.google.com/asset/after-bathing/EQE-yC8MVSXZdA
69,https://artsandculture.google.com/asset/pierre-de-wiessant/YQELgsODacwDOQ
70,https://artsandculture.google.com/asset/the-age-of-bronze/QAF7ekBqfolSNw
71,https://artsandculture.google.com/asset/masked-ball-at-the-opera/YQFa24R0AgUEeg
72,https://artsandculture.google.com/asset/the-age-of-bronze/4gGV3a0qW8AouQ
73,https://artsandculture.google.com/asset/the-age-of-bronze/_gHw7mdOqLxpuQ
74,https://artsandculture.google.com/asset/dancers-practicing-at-the-barre/RQG7zV4YfSqQVA
75,https://artsandculture.google.com/asset/mother/QAGMMtJioH0OrA
76,https://artsandculture.google.com/asset/the-fountain-villa-torlonia-frascati-italy/ygHTOAs5deONKw
77,https://artsandculture.google.com/asset/snow-scene-at-argenteuil/6gG1NjNrhREvdQ
78,https://artsandculture.google.com/asset/zogende-vrouw/hQEjHbjXDuo3AA
79,https://artsandculture.google.com/asset/let-del-bronzo/ywGUG5QklJ5imw
80,https://artsandculture.google.com/asset/autumn-on-the-seine-argenteuil-automne-sur-la-seine-argenteuil/ywFLoALRQJioMw
81,https://artsandculture.google.com/asset/water-lilies/dAEuBA4l1GeOtA
82,https://artsandculture.google.com/asset/the-water-lily-pond-in-the-evening/ZQEhQOF10hwhUQ
83,https://artsandculture.google.com/asset/the-water-lilies-morning/IAHgEdqp703amQ
84,https://artsandculture.google.com/asset/on-the-wallaby-track/xwGJklZFyF2eJg
85,https://artsandculture.google.com/asset/the-argenteuil-bridge/zAGt_suewfK9Qw
86,https://artsandculture.google.com/asset/haystacks-end-of-summer/uAGiTS7UJkQXUw
87,https://artsandculture.google.com/asset/the-little-sailing-boat/cAHgs6Ss-md1mg
88,https://artsandculture.google.com/asset/cotton-merchants-in-new-orleans/CAHITK62r5EA1Q
