,url
0,https://artsandculture.google.com/asset/1935-white-relief-ben-nicholson/vAEn4KAcs2Melw
1,https://artsandculture.google.com/asset/the-starry-night/bgEuwDxel93-Pg
2,https://artsandculture.google.com/asset/american-gothic/5QEPm0jCc183Aw
3,https://artsandculture.google.com/asset/wheatfield-with-crows/dwFdD5AMQfpSew
4,https://artsandculture.google.com/asset/the-kiss/HQGxUutM_F6ZGg
5,https://artsandculture.google.com/asset/nighthawks/6AEKkO_F-9wicw
6,https://artsandculture.google.com/asset/self-portrait/9gFw_1Vou2CkwQ
7,https://artsandculture.google.com/asset/almond-blossom/dAFXSL9sZ1ulDw
8,https://artsandculture.google.com/asset/woman-with-a-parasol-madame-monet-and-her-son/EwHxeymQQnprMg
9,https://artsandculture.google.com/asset/luncheon-on-the-grass/twELHYoc3ID_VA
10,https://artsandculture.google.com/asset/frieda-and-diego-rivera/pAGW_uPdEDd_uw
11,https://artsandculture.google.com/asset/dance-at-le-moulin-de-la-galette/rQEx7CtGiKE3yg
12,https://artsandculture.google.com/asset/the-gates-of-hell/8gGiH_LkECeJgA
13,https://artsandculture.google.com/asset/whistlers-mother/awFIJRnfxMZ8gQ
14,https://artsandculture.google.com/asset/a-sunday-on-la-grande-jatte/twGyqq52R-lYpA
15,https://artsandculture.google.com/asset/olympia/ywFEI4rxgCSO1Q
16,https://artsandculture.google.com/asset/the-bedroom/KwF-AdF1REQl6w
17,https://artsandculture.google.com/asset/luncheon-of-the-boating-party/mgHsTKDNJVzPAg
18,https://artsandculture.google.com/asset/migrants/0wG7L0YeJ3fzfQ
19,https://artsandculture.google.com/asset/portrait-of-pablo-picasso/RgGPipJ4FxSBiw
20,https://artsandculture.google.com/asset/the-potato-eaters/7gFcKarE9QeaXw
21,https://artsandculture.google.com/asset/girl-with-peaches-portrait-of-vsmamontova/vgFS_-o4tXr4Rw
22,https://artsandculture.google.com/asset/paris-street-rainy-day/5wEUCOlEf-EaVQ
23,https://artsandculture.google.com/asset/starry-night/uQE3XORhSK37Dw
24,https://artsandculture.google.com/asset/death-and-life-first-version/DgFJXccYUzFxdw
25,https://artsandculture.google.com/asset/death-and-life/rAGqexSs58_H0A
26,https://artsandculture.google.com/asset/sunflowers/hwEGmsM-FoHAwA
27,https://artsandculture.google.com/asset/composition-vii/CQHOKgpWcL_UPA
28,https://artsandculture.google.com/asset/in-a-caf/GQH1c-43xR3JtA
29,https://artsandculture.google.com/asset/dream-of-a-sunday-afternoon-in-alameda-park/iwGyfPDAQQ7kXQ
30,https://artsandculture.google.com/asset/at-the-moulin-rouge/pAGg8GwiHleSkA
31,https://artsandculture.google.com/asset/the-ballet-class/fwE5p5FTjV9Ezg
32,https://artsandculture.google.com/asset/girl-with-death-mask-nia-con-mscara-de-calavera/XgGnVsKm4o3rhw
33,https://artsandculture.google.com/asset/self-portrait-on-the-borderline-between-mexico-and-the-united-states/JwHDw-_2L73Nzw
34,https://artsandculture.google.com/asset/the-floor-planers/0wHXxVpb7UjLNA
35,https://artsandculture.google.com/asset/vincent-van-gogh-painting-sunflowers/XgHfqMF7DBqobQ
36,https://artsandculture.google.com/asset/early-sunday-morning/QgGaRwUSMkCoCA
37,https://artsandculture.google.com/asset/the-large-bathers/owGszazN_Evyvw
38,https://artsandculture.google.com/asset/composition-with-red-blue-and-yellow/5QG2Fm_LGUWAHA
39,https://artsandculture.google.com/asset/blue-horse-i/ZAFpPn_oQwEIwQ
40,https://artsandculture.google.com/asset/the-japanese-footbridge/RgG90GYz4QkZ4A
41,https://artsandculture.google.com/asset/portrait-of-madame-matisse-the-green-line/pQER-gMjYy2etA
42,https://artsandculture.google.com/asset/dead-child/bgGJcA6CxGljGg
43,https://artsandculture.google.com/asset/berthe-morisot-with-a-bouquet-of-violets/BgE_z2CPRYBI1A
44,https://artsandculture.google.com/asset/the-yellow-house-the-street/4gEx_EL470OSUw
45,https://artsandculture.google.com/asset/the-sleeping-gypsy/4gGIGzr3QW9xkw
46,https://artsandculture.google.com/asset/wheatfield-under-thunderclouds/kAErTfh0dORNwQ
47,https://artsandculture.google.com/asset/little-dancer-aged-fourteen/nwFpjqpFjuLCew
48,https://artsandculture.google.com/asset/little-girl-in-a-blue-armchair/UwELDD8PvGE1Rg
49,https://artsandculture.google.com/asset/tourne-du-chat-noir-de-rodolphe-salis-tour-of-rodolphe-salis-chat-noir/BAEF9F-mDJvr0A
50,https://artsandculture.google.com/asset/the-rehearsal/mAFZx9l_OlYhJw
51,https://artsandculture.google.com/asset/adele-bloch-bauer-i/8AGgCo0-kGh2aw
52,https://artsandculture.google.com/asset/campbells-soup-i/jwEPpXRD0LS7YA
53,https://artsandculture.google.com/asset/the-boating-party/5wGHW8o0QOcQ3g
54,https://artsandculture.google.com/asset/study-for-a-sunday-on-la-grande-jatte/MgFZs28X-gM_hA
55,https://artsandculture.google.com/asset/the-church-in-auvers-sur-oise-view-from-the-chevet/6wEjLceQPXkTtA
56,https://artsandculture.google.com/asset/chez-tortoni/hwEs0DyFGfGLNQ
57,https://artsandculture.google.com/asset/self-portrait-dedicated-to-leon-trotsky/qwH7SFUucsTJjQ
58,https://artsandculture.google.com/asset/soir-bleu/ggFjVsMcy1KYdg
59,https://artsandculture.google.com/asset/young-girls-at-the-piano/ZAGwT97hbG0-sg
60,https://artsandculture.google.com/asset/poppy-field/xQGTinA-MPxcVg
61,https://artsandculture.google.com/asset/la-grenouillre/HgHrOyFUfcFtLw
62,https://artsandculture.google.com/asset/water-lilies-and-japanese-bridge/PAFQhDlvL98Phg
63,https://artsandculture.google.com/asset/portrait-of-the-artists-mother/2QH4InLXWX6UMQ
64,https://artsandculture.google.com/asset/viva-la-vida/bAGbsL-eW4XUXg
