,url
0,https://artsandculture.google.com/asset/the-grand-canal-in-venice-with-the-rialto-bridge/twEqdvmJuveKrA
1,https://artsandculture.google.com/asset/marie-antoinette-queen-of-france/tAEhw_2KvIWeXQ
2,https://artsandculture.google.com/asset/marie-antoinette-de-lorraine-habsbourg-queen-of-france-and-her-children/RQE3s9ANo6GnTg
3,https://artsandculture.google.com/asset/young-girl-reading/JgFJCH9wxBktkg
4,https://artsandculture.google.com/asset/marie-antoinette-with-the-rose/qwHgKqLoAQb9FQ
5,https://artsandculture.google.com/asset/the-triumph-of-venus/CwF1yz3e9bRtYg
6,https://artsandculture.google.com/asset/the-progress-of-love-the-meeting/PwH8sj_E5QhPDQ
7,https://artsandculture.google.com/asset/the-painter-and-his-pug/1AHBHUMVSfHpFg
8,https://artsandculture.google.com/asset/madame-de-pompadour/HQHmQz9k9qlC5w
9,https://artsandculture.google.com/asset/the-banquet-of-cleopatra/wwFHnS1cmltkFw
10,https://artsandculture.google.com/asset/portrait-of-milopukhina/wQHwE04AB8RUbA
11,https://artsandculture.google.com/asset/three-ladies-adorning-a-term-of-hymen/IwGq2dHr6OkT7g
12,https://artsandculture.google.com/asset/the-entrance-to-the-grand-canal-venice/YQE8EgCyh0-drg
13,https://artsandculture.google.com/asset/the-apotheosis-of-hercules/EgH96BPengfUIw
14,https://artsandculture.google.com/asset/the-toilette-of-venus/vgFjkspDm8qTQA
15,https://artsandculture.google.com/asset/madame-grand-nol-catherine-vorle-17611835/WgH6erQsCpS08A
16,https://artsandculture.google.com/asset/madame-bergeret/TwFs06EqPBEgug
17,https://artsandculture.google.com/asset/colonel-acland-and-lord-sydney-the-archers/WQEH3jlvQHLJFg
18,https://artsandculture.google.com/asset/madame-grand-nol-catherine-vorle-17611835/VgGVzbNUlGoZmQ
19,https://artsandculture.google.com/asset/the-lady-with-the-veil-the-artists-wife/KQF-jpNMOV38yA
20,https://artsandculture.google.com/asset/scipio-africanus-freeing-massiva/4gEkPywk8RdKxQ
21,https://artsandculture.google.com/asset/the-honourable-mrs-graham-1757-1792/TgHatHjpBVyqrg
22,https://artsandculture.google.com/asset/les-plaisirs-du-bal/ygEIIXQmEkmkNA
23,https://artsandculture.google.com/asset/the-triumph-of-venice/zwEh0z9DWpWlBA
24,https://artsandculture.google.com/asset/comtesse-de-la-chtre-marie-charlotte-louise-perrette-agla-bontemps-17621848/bwHKsOTGZHSPCg
25,https://artsandculture.google.com/asset/the-hon-mrs-thomas-graham/6AFbv_OarFooRA
26,https://artsandculture.google.com/asset/southwark-fair/9QEeLg0ckEnE-Q
27,https://artsandculture.google.com/asset/satan-sin-and-death-a-scene-from-miltons-paradise-lost/PgHYDMoM14k1TA
28,https://artsandculture.google.com/asset/lady-elizabeth-delm-and-her-children/kAF3av6F6yUH-g
