,url
0,https://artsandculture.google.com/asset/members-of-the-mitari-family-at-their-mountain-view-california-dorothea-lange-%EB%B0%8F-franklin-d-roosevelt-presidential-library-and-museum-of-the-national-archives-and-records-administration/LAGukfw5J52OWg
1,https://artsandculture.google.com/asset/nighthawks/6AEKkO_F-9wicw
2,https://artsandculture.google.com/asset/migrant-mother-nipomo-california/sgHOO4XZ__RMXg
3,https://artsandculture.google.com/asset/migrant-mother-nipomo-california/ogF9bKF6G1Kwlg
4,https://artsandculture.google.com/asset/dream-of-a-sunday-afternoon-in-alameda-park/iwGyfPDAQQ7kXQ
5,https://artsandculture.google.com/asset/migrant-mother/TwFgW0W_CPYOoA
6,https://artsandculture.google.com/asset/portret-van-florence-owens-thompson/ZAFG55vepniAAg
7,https://artsandculture.google.com/asset/the-steerage/VgFMwBlWg-XTrw
8,https://artsandculture.google.com/asset/juanito-laguna-aprende-a-leer/ZAEUwwDX_LsbOA
9,https://artsandculture.google.com/asset/damaged-child-shacktown-elm-grove-oklahoma/4wH8TY51WnZPMQ
10,https://artsandculture.google.com/asset/white-angel-breadline-san-francisco/_gFDeColaEWX2Q
11,https://artsandculture.google.com/asset/street-in-vila-vila-landscape/rAFDdZMZO122Hg
12,https://artsandculture.google.com/asset/dust-storm-oklahoma/GAEHubGFhFb_hg
13,https://artsandculture.google.com/asset/untitled-harlem-new-york/1QEzXJVeMd4y1g
14,https://artsandculture.google.com/asset/portrait-of-frida-kahlo-retrato-de-frida-kahlo/BQGfJejUkv-clg
15,https://artsandculture.google.com/asset/destitute-pea-pickers-california/XwFMxbxfUOPLGw
16,https://artsandculture.google.com/asset/allie-mae-burroughs-wife-of-a-cotton-sharecropper-hale-county-alabama/sQHOBockt6wfSA
17,https://artsandculture.google.com/asset/migrant-mother-nipoma-california/YQE4DDyWNodBAQ
18,https://artsandculture.google.com/asset/washington-southwest-section-dc-two-negro-boys-shooting-marbles-in-front-of-their-homes/fAH7UfO6ajBhtQ
19,https://artsandculture.google.com/asset/vendedora-de-flores/ewGjbP7tTV1Qtg
20,https://artsandculture.google.com/asset/emerging-man/UQHASciIdmH-pQ
21,https://artsandculture.google.com/asset/a-busload-of-evacuees-prepares-to-depart-from-a-civil-control-station-in-san-francisco/QwH_W40hD1d-jw
22,https://artsandculture.google.com/asset/husband-and-wife-sunday-morning-detroit-michigan/zwEePosIkwboRg
23,https://artsandculture.google.com/asset/six-tenant-farmers-without-farms-hardeman-county-texas/CAEklD9JINT2qw
24,https://artsandculture.google.com/asset/the-invisible-man-harlem-new-york/IAFd9heasrrw5w
25,https://artsandculture.google.com/asset/miners-houses-vicinity-birmingham-alabama/QwEg-fL0sZdjFQ
26,https://artsandculture.google.com/asset/allie-mae-burroughs-wife-of-a-cotton-sharecropper-hale-county-alabama/mwFByN2_vQriZQ
27,https://artsandculture.google.com/asset/american-gothic-washington-dc/dgHIf-x27ctMzQ
28,https://artsandculture.google.com/asset/alabama-tenant-farmers-kitchen-near-moundville/YwGjHkpRGftooA
29,https://artsandculture.google.com/asset/anacostia-dc-housing-project/tgEM9dWOGBEpFw
30,https://artsandculture.google.com/asset/the-people-and-their-false-leaders/LAFKTwl1cEiueA
31,https://artsandculture.google.com/asset/el-hombre-de-fuego-acercamiento/RQEd67EOF2_ung
32,https://artsandculture.google.com/asset/the-trial-of-john-brown/5gFZVu9bOtaXcA
33,https://artsandculture.google.com/asset/dream-of-a-sunday-afternoon-in-alameda-park-detail/3wEmSVcjZAD9kA
34,https://artsandculture.google.com/asset/woman-selling-calla-lilies/eQFR9eu_SQatAA
35,https://artsandculture.google.com/asset/cantaloupe-pickers-mexicans-at-end-of-day-in-california-melon-fields-mexican-labor-off-for-the-melon-fields-in-the-imperial-valley-california/9QHJKUTnR9x1XA
36,https://artsandculture.google.com/asset/ex-slave-with-long-memory-alabama/wwHrdKPN46MP0Q
37,https://artsandculture.google.com/asset/children-with-doll-washington-dc/rgGD9Uy7nJz7CQ
38,https://artsandculture.google.com/asset/oklahoma-refugees-from-the-dust-bowl-looking-for-work-on-the-cotton-fields-now-encamped-near-bakersfield-california/xwHU7E3rbpPq3g
39,https://artsandculture.google.com/asset/twentieth-street-between-second-and-first-avenues/eQHFSnJw2Sxd_A
40,https://artsandculture.google.com/asset/portrait-of-mrs-lucy-johnson/ZQGA0_83p0zM6g
41,https://artsandculture.google.com/asset/havana-citizen-citizen-in-downtown-havana/wAGUc1Sc9oe1Uw
42,https://artsandculture.google.com/asset/this-is-nazi-brutality-radio-berlin-it-is-officially-announced-all-men-of-lidice-czechoslovakia-have-been-shot-/agE50VQ4MJBIoQ
43,https://artsandculture.google.com/asset/this-is-nazi-brutality-radio-berlin-it-is-officially-announced-all-men-of-lidice-czechoslovakia-have-been-shot-office-of-war-information/IAErDQ_xGcmWWA
44,https://artsandculture.google.com/asset/this-is-nazi-brutality/bAGBVdJVScclIw
45,https://artsandculture.google.com/asset/rainy-day-in-camp-of-migrant-pea-pickers-nipomo-california/IAHLWz6t6xLSTg
46,https://artsandculture.google.com/asset/juanito-laguna-brings-a-meal-to-his-father-a-metalworker/ZQH1LEQMJUKC8A
47,https://artsandculture.google.com/asset/citizen-in-downtown-havana/dgGBppRQqZyQXA
48,https://artsandculture.google.com/asset/mill-hands-lunch-bucket-pittsburgh-memories/mwEKerHlHjAdzw
49,https://artsandculture.google.com/asset/funeral-cortege-end-of-an-era-in-a-small-valley-town-california/qgEm8RNznSX9KA
50,https://artsandculture.google.com/asset/study-for-aspects-of-negro-life-an-idyll-of-the-deep-south/GwFBZEmG2lMCiQ
51,https://artsandculture.google.com/asset/ajax/HgE9F3iLi8dCsA
52,https://artsandculture.google.com/asset/mass-migration-india/1wFS3fObO7k2XQ
53,https://artsandculture.google.com/asset/savannah-negro-quarter/igEHJ8hM4oE32Q
54,https://artsandculture.google.com/asset/daughter-of-migrant-tennessee-coal-miner-living-in-american-river-camp-near-sacramento-california/7wHEbV7BAk1IQA
55,https://artsandculture.google.com/asset/gandhis-funeral/twFE2YNGg8sSVQ
56,https://artsandculture.google.com/asset/mass-migration-india/OQFi07L1RtAMUw
57,https://artsandculture.google.com/asset/gandhis-funeral/9wE9QC6gf04d0A
58,https://artsandculture.google.com/asset/dust-storm-cimarron-county-oklahoma/xwEAa37N4lkKPw
59,https://artsandculture.google.com/asset/country-store-interior/YQE3WpqaXHx9Xg
60,https://artsandculture.google.com/asset/manhattan-bridge-looking-up/GAHom3DBDPqFfA
61,https://artsandculture.google.com/asset/manhattan-bridge-looking-up/jQFhuj1PYs-HEw
62,https://artsandculture.google.com/asset/picasso-sculptures/6wH8qlEtVPHV4Q
63,https://artsandculture.google.com/asset/roadside-sandwich-shop-ponchatoula-louisiana/-AEl12qpz9FV1A
64,https://artsandculture.google.com/asset/gandhis-funeral/kAFaF0x4-0W_oQ
65,https://artsandculture.google.com/asset/fgHi37MagbqdQg
66,https://artsandculture.google.com/asset/romania/lwHhv6wsDRyU0Q
67,https://artsandculture.google.com/asset/waiting-for-work-on-edge-of-the-pea-field-holtville-imperial-valley-california/ogF_Znwf-hNM0g
68,https://artsandculture.google.com/asset/mass-migration-india/NQEWnCh5wbonJw
69,https://artsandculture.google.com/asset/gandis-funeral/5wHYKDeh9esIPw
70,https://artsandculture.google.com/asset/paul-taylor-with-migrant-workers-imperial-valley-california/VQEfdYyyj1qLRw
71,https://artsandculture.google.com/asset/new-orleans-houses/CAGsDJLShj56jA
72,https://artsandculture.google.com/asset/mexican-doctor-portrait-of-irma-mendoza/oQHwOpxs39un7w
73,https://artsandculture.google.com/asset/members-of-the-mochida-family-wait-in-hayward-california-for-their-evacuation-bus/pQG5HFDlCeUKrA
74,https://artsandculture.google.com/asset/gandhis-funeral/sQG0StjQuiPAhQ
75,https://artsandculture.google.com/asset/six-lettuce-pickers/4AGAAHoMfCOOIw
76,https://artsandculture.google.com/asset/personalities-turkey/EAG9ekGv72FJ0A
77,https://artsandculture.google.com/asset/personalities/8gGakDsd2KLpnw
78,https://artsandculture.google.com/asset/man-controller-of-the-universe/JwESYqRaLENE7g
79,https://artsandculture.google.com/asset/the-creator-and-rebel-man/rwFLIH0QZHSRFA
80,https://artsandculture.google.com/asset/windowmysticism-harlem-new-york/cwFLFkqPTUn6Vw
81,https://artsandculture.google.com/asset/detrs-de-la-cortina-behind-the-curtain/awHNbdfiu3-igg
82,https://artsandculture.google.com/asset/UwHoD897MeFROg
83,https://artsandculture.google.com/asset/harvest/bgHpRCN7YhXp6g
84,https://artsandculture.google.com/asset/egypt-series/5AEi4tGhU2mhWg
85,https://artsandculture.google.com/asset/mass-migration-india/VwF41TAjjnekUQ
86,https://artsandculture.google.com/asset/three-churches-of-the-high-plains-near-winner-south-dakota/JAH99xsGO2vOnA
87,https://artsandculture.google.com/asset/us-steel-gary-ind/1wF-QygefgvSmg
88,https://artsandculture.google.com/asset/the-steerage/DwGsXk0l3l7fkw
89,https://artsandculture.google.com/asset/loiusville-ky-flood/oAEfNfCQZeGDxg
90,https://artsandculture.google.com/asset/women-in-art/lgEUcSZ_E7Ab0A
91,https://artsandculture.google.com/asset/bar-and-grill/ygH-J2Q59y90Gg
92,https://artsandculture.google.com/asset/human-erosion-in-california-migrant-mother/jQF1efTByECCoQ
93,https://artsandculture.google.com/asset/mother-courage-ii/-gHIxqfnJ19eZg
94,https://artsandculture.google.com/asset/DQGsy2b8AN9B7g
95,https://artsandculture.google.com/asset/britishindian-troops-in-egypt/9gH3BQ1kFnj-gw
96,https://artsandculture.google.com/asset/roadside-stand-vicinity-birmingham-alabama/PAEDIrnRr9K5uw
97,https://artsandculture.google.com/asset/group-of-italian-men-at-ellis-island/zQEoRLKV65ofug
98,https://artsandculture.google.com/asset/loiusville-ky-flood/rAG9krTMU4ibnw
99,https://artsandculture.google.com/asset/broadway-to-the-battery/eQEE2hG7QTAYQg
100,https://artsandculture.google.com/asset/bud-fields-with-his-wife-ivy-and-his-daughter-ellen-hale-county-alabama/lAF2I3zAsX8I9Q
101,https://artsandculture.google.com/asset/ZgGAk9Rqazm-CA
102,https://artsandculture.google.com/asset/gandhi-family/6wG8xAdhTBj8YA
103,https://artsandculture.google.com/asset/2gEVCLWHkAziNQ
104,https://artsandculture.google.com/asset/end-of-house-on-logan-street-charleston-south-carolina/LwGHjKdQyF6hVA
105,https://artsandculture.google.com/asset/personalities/UgGZunKFVTqBSg
106,https://artsandculture.google.com/asset/herbert-hoover-in-mysore/AgGWWpjbQlOKFg
107,https://artsandculture.google.com/asset/fifth-avenue-nos-4-6-8/DwGKQ_CCU-Mvpw
108,https://artsandculture.google.com/asset/gandhi-family/LAGLUhVePP9AUQ
109,https://artsandculture.google.com/asset/pike-and-henry-streets/igFsvuxcvZHDUQ
110,https://artsandculture.google.com/asset/ugFrH7MBn5PkrQ
111,https://artsandculture.google.com/asset/a-raisin-in-the-sun/-AGkd1_zB7LhUg
112,https://artsandculture.google.com/asset/india-politics/-wEKcjS9fwJikg
113,https://artsandculture.google.com/asset/-QHbk76kErTd0A
114,https://artsandculture.google.com/asset/hAH6GThbPmd_RQ
115,https://artsandculture.google.com/asset/gandhi-family/xwGovAtmIUzKvg
116,https://artsandculture.google.com/asset/iwH-RXa8-Ha34Q
117,https://artsandculture.google.com/asset/nude-with-calla-lilies/4wEvWQgZr0lhFg
118,https://artsandculture.google.com/asset/indias-congress-party/PgGkW9bdknJWDw
119,https://artsandculture.google.com/asset/soapbox-orator-harlem-new-york/hwGvryIivh6JJQ
120,https://artsandculture.google.com/asset/stoop-labor-in-cotton-field-san-joaquin-valley-california/QwEQdveWqPUVOQ
121,https://artsandculture.google.com/asset/union-square-manhattan/9AEvtG6N-C8S4w
122,https://artsandculture.google.com/asset/aftermath-of-calcutta-riots/vAFfvvdYsCMxUA
123,https://artsandculture.google.com/asset/sikh-migration-in-india/iwHALhDRTN8sCQ
124,https://artsandculture.google.com/asset/5gHf5NbXFlX5Uw
125,https://artsandculture.google.com/asset/gandhi-family/lgH2otZ2DAnPaw
126,https://artsandculture.google.com/asset/invisible-man-retreat-harlem-new-york/GgHASwq6Y0AeDw
127,https://artsandculture.google.com/asset/penny-picture-display-savannah/JgEP-VJYGJP3hA
128,https://artsandculture.google.com/asset/floyd-and-lucille-burroughs-hale-county-alabama/SQGhL1eUOR2p2Q
129,https://artsandculture.google.com/asset/gandhi-family/wwEgEIg_-1bbuw
130,https://artsandculture.google.com/asset/frida/XgH6Fr9uTkPPKg
131,https://artsandculture.google.com/asset/landscape-with-house/3QGELhLLUvd2pQ
132,https://artsandculture.google.com/asset/ruined-german-cities/4AHnDZULNYp8xA
133,https://artsandculture.google.com/asset/freedom-of-religion-three-denominations-catholic-lutheran-baptist-churches-on-the-great-plains-dixon-near-winner-south-dakota/EwFXfjC8j8w8Xg
134,https://artsandculture.google.com/asset/gandhi-family/twGk765n2kS4UA
135,https://artsandculture.google.com/asset/gandhi-family/ewFWsa6MRiKohA
136,https://artsandculture.google.com/asset/india-politics/qAEIJYhJ0HN6jQ
137,https://artsandculture.google.com/asset/carnival-signs/5wFyMkjuz7qgeA
138,https://artsandculture.google.com/asset/gandhi-family/nQE9rJjmdUFsqg
139,https://artsandculture.google.com/asset/mme-jenkins/5wFwRwA_24Bw_Q
140,https://artsandculture.google.com/asset/tAF-mof0gZl1TA
141,https://artsandculture.google.com/asset/union-of-south-africa/aAGOSIHMlVBb-g
142,https://artsandculture.google.com/asset/5AEedHEC5oiW2g
143,https://artsandculture.google.com/asset/gunsmith-and-police-department-headquarters/CwHd-XpOr5B_nA
144,https://artsandculture.google.com/asset/gandhi-family/PAHlI8pD_dkDig
145,https://artsandculture.google.com/asset/gandhi-family/8AG-Vxi6k6SJdA
146,https://artsandculture.google.com/asset/gandhi-family/CgENlUEB4MVkbg
147,https://artsandculture.google.com/asset/church-of-the-nazarene-tennessee/yAFaj4iQc7cJLA
148,https://artsandculture.google.com/asset/allegory-of-mexico/FwHpG_vUYlhevA
149,https://artsandculture.google.com/asset/the-return-of-private-davis-from-the-argonne/NAFjgrj9yX14Zw
150,https://artsandculture.google.com/asset/5wHxL18aeUTDtA
151,https://artsandculture.google.com/asset/gandhi-family/4wE1M-eWKE06MA
152,https://artsandculture.google.com/asset/gandhi-family/YAGe5RPyaT2AVw
153,https://artsandculture.google.com/asset/moris-restaurant/QwGxXyIxjT2aVw
154,https://artsandculture.google.com/asset/gandhi-family/6gEWqeSrkCA-TA
155,https://artsandculture.google.com/asset/chung-king-china/kwFUwRRSN4xMPg
156,https://artsandculture.google.com/asset/gandhi-family/dgF_uNL3mTz2-w
157,https://artsandculture.google.com/asset/misc/7AGTowoMHTVvDA
158,https://artsandculture.google.com/asset/buchenwald-victims/JwEFvo7TGyNgDw
159,https://artsandculture.google.com/asset/congress-party-gandhi/HwEUpZX3Jdsv-Q
