,url
0,https://artsandculture.google.com/asset/shepard-fairey-west-hollywood-library-chuck-self-shepard-fairey-%EB%B0%8F-obey/kgFyQ7a81LRwPw
1,https://artsandculture.google.com/asset/mural-by-banksy/MwGdarrgq-CXpA
2,https://artsandculture.google.com/asset/mural-by-banksy/GQG_ZP7C2QF5gQ
3,https://artsandculture.google.com/asset/mural-by-banksy/GQGpeDpjDNd-cQ
4,https://artsandculture.google.com/asset/mchat/_wFPRoUK9o-pPA
5,https://artsandculture.google.com/asset/mural-by-banksy/UQHn0a0b6whImg
6,https://artsandculture.google.com/asset/banksy-crayon-for-closure-kolodny/FAHsCuACcNDY_w
7,https://artsandculture.google.com/asset/the-wall-banksy-balloons/FgHoVE-hmt6DBQ
8,https://artsandculture.google.com/asset/eduardo-kobra-final-2/6AF4EROIaf3DjQ
9,https://artsandculture.google.com/asset/kobra-17/_wGa4PwGuzfvgQ
10,https://artsandculture.google.com/asset/mural-by-banksy/cgGc8JvFR2I8RQ
11,https://artsandculture.google.com/asset/nychos/nwHPE3YrM_zBXQ
12,https://artsandculture.google.com/asset/mural-by-banksy/RAHh81hUtZ10SQ
13,https://artsandculture.google.com/asset/el-nestornauta/7wGj24ZRicDjiA
14,https://artsandculture.google.com/asset/kobra-chelsea/xAF7n4eWiqRlcw
15,https://artsandculture.google.com/asset/defend-dignity/kAGYAeyxv3JGXA
16,https://artsandculture.google.com/asset/toxic-mary-double/VgHBaQ26JCBEFg
17,https://artsandculture.google.com/asset/dreaming-graffiti-sketch/nwErs-yL_waR_w
18,https://artsandculture.google.com/asset/tour-paris-13-8me-tage-appartement-n-983/GgHdFnwFBDwjOw
19,https://artsandculture.google.com/asset/mural-by-captain-kris/TwFiWK2aVhT1WA
20,https://artsandculture.google.com/asset/characters-in-a-primitive-style/EAGlzC7oAwwtRw
21,https://artsandculture.google.com/asset/eduardo-kobra-final-1/EwGl5CGyULUb0Q
22,https://artsandculture.google.com/asset/eduardo-kobra-mount-rushmore-colorsinla/hQFGLkWc4nhBJw
23,https://artsandculture.google.com/asset/skid-row-city-limits-mural/uAHanoE2tWN1Yg
24,https://artsandculture.google.com/asset/futura-the-clash/vgHx4XGD9iDYYw
25,https://artsandculture.google.com/asset/mural-by-banksy/2gGC7a9CDa31xw
26,https://artsandculture.google.com/asset/millerntor-stadium-from-the-heiligengeistfeld/UwG512cSrON0Gg
27,https://artsandculture.google.com/asset/magic-pasted-on-footpath/twGKuZOB4bjedQ
28,https://artsandculture.google.com/asset/the-death-of-graffiti/mwEBpSkz1fkjDw
29,https://artsandculture.google.com/asset/silhouette-of-a-pregnant-woman/SAHF6fz9wCok7A
30,https://artsandculture.google.com/asset/dface-cerrado-por-malaguea/lQGC_BZ5xk33LA
31,https://artsandculture.google.com/asset/futura-painting/NQHrjyRcAO6vdw
32,https://artsandculture.google.com/asset/31013/PgGIn0mJBkSM_Q
33,https://artsandculture.google.com/asset/martin-ron-mural-in-barracas-buenos-aires-2012/CQHCXmxvkw7s2A
34,https://artsandculture.google.com/asset/are-greater-than-fear/MwHU7dkKzhR6ZA
35,https://artsandculture.google.com/asset/futura-painting/ZAESHVgjJyJUOw
36,https://artsandculture.google.com/asset/futura-painting/KAFSbTmVwjdGEw
37,https://artsandculture.google.com/asset/lhomme-en-blanc/2wHhI2jUNeAiGQ
38,https://artsandculture.google.com/asset/futura-detail-7/8AE2z0vYkOvHTw
39,https://artsandculture.google.com/asset/futura-painting/NQGO-pVxqunXSw
40,https://artsandculture.google.com/asset/vhils-8/pgEtGE6ugQDbRg
41,https://artsandculture.google.com/asset/untitled/wwGIdkT0OGGpZg
42,https://artsandculture.google.com/asset/faile-williamsburg/DAG_7IuSGlJa9A
43,https://artsandculture.google.com/asset/futura-painting/MAGkdizt-rdYuA
44,https://artsandculture.google.com/asset/kobra-chelsea/PAHBJBu2ugqzhg
45,https://artsandculture.google.com/asset/mural-by-vinz-feel-free/qAExtPFlpcpb1Q
46,https://artsandculture.google.com/asset/vhils-1/FgFd51Gx3hO1YA
47,https://artsandculture.google.com/asset/martin-ron-lean-frizzera-and-emy-mariani-carlos-tevz-mural-fuerte-apache-buenos-aires/mwH2htv3O14Xqw
48,https://artsandculture.google.com/asset/los-prisioneros/ZwFa8CBVdPKPyA
49,https://artsandculture.google.com/asset/personal-melody/7QFPomjtacOJDg
50,https://artsandculture.google.com/asset/tour-paris-13-extrieur/DwHDYYW8ECOwIQ
51,https://artsandculture.google.com/asset/jara-mosque-minaret/aQGAkzYY8R-1_Q
52,https://artsandculture.google.com/asset/untitled/TwFt6747aLYGqg
53,https://artsandculture.google.com/asset/untitled/uAEZ9gDtPWAaDg
54,https://artsandculture.google.com/asset/mural-by-banksy/bgFP9O_1eAbA0w
55,https://artsandculture.google.com/asset/fight-club-dulwich/AgH3WA2910jB4A
56,https://artsandculture.google.com/asset/untitled/HAEUqSNiTN6PPQ
57,https://artsandculture.google.com/asset/pow-wow-hawaii-2013-ink-nation-mural/6gFFbalHHfYy7Q
58,https://artsandculture.google.com/asset/eduardo-kobra-final-panorama/wAE3u3teenq1cw
59,https://artsandculture.google.com/asset/mural-by-banksy/GQESFefD7DocRA
60,https://artsandculture.google.com/asset/kobra-6/jgHP6UtpOvT85A
61,https://artsandculture.google.com/asset/mural-by-branco/1wHOtScpBwUQRA
62,https://artsandculture.google.com/asset/dface-cerrado-por-malaguea/ZgF-qqZWK4Bx2Q
63,https://artsandculture.google.com/asset/lost-walls/uwG0YQFLUnqrqw
64,https://artsandculture.google.com/asset/mural-by-banksy/uwEf4myCNBoqUw
65,https://artsandculture.google.com/asset/manananggal-tiyanak-horde/vwG_KXFkdHfovA
66,https://artsandculture.google.com/asset/blu-mural-monserrat-buenos-aires-2011/hwFy4qE0pU9fqw
67,https://artsandculture.google.com/asset/centre-pompidou-peinture-frache-latelier-des-enfants/FAFZqEIQxiQFAQ
68,https://artsandculture.google.com/asset/science-balance/8wHDqpnAMdVpmg
69,https://artsandculture.google.com/asset/mural-by-banksy/jgHn_vKdfpJpvg
70,https://artsandculture.google.com/asset/jr/6gFe3UfZqyTWHg
71,https://artsandculture.google.com/asset/lost-walls/sgFRWssVfc1Ctg
72,https://artsandculture.google.com/asset/mural-by-banksy/KwF_ESglO8S69A
73,https://artsandculture.google.com/asset/le-montral-de-miyuki-tanobe/HgHl7ora_DKe6Q
74,https://artsandculture.google.com/asset/sweet-toof-williamsburg/ogGfnDuJnZXBPA
75,https://artsandculture.google.com/asset/futura-painting/VgHVjLR7BLC8Pw
76,https://artsandculture.google.com/asset/city-of-dreamsriver-of-history/_wGoX-PCHVV9ng
77,https://artsandculture.google.com/asset/kkk/FwEdzCKVo_YqaQ
78,https://artsandculture.google.com/asset/kobra-chelsea/XQGbE1NpYaFp5w
79,https://artsandculture.google.com/asset/kobra-mount-rushmore-colorsinla/9AE_Yc65hAB3tg
80,https://artsandculture.google.com/asset/mural-by-banksy/YwErMuar7h9mdA
81,https://artsandculture.google.com/asset/vhils-6/2QE_hhZCjEvELQ
82,https://artsandculture.google.com/asset/silhouttes-of-the-disappeared/-wExZv-j4aiA8w
83,https://artsandculture.google.com/asset/untitled/1gFzuTyPNDAlhg
84,https://artsandculture.google.com/asset/futura-painting/SAH5sPzIkdGvbw
